Name,Email,User Name,Notes,Attachments,Attachment Summary,University,Degree,Learning Habits,Career Goals,Struggling Concepts,Meet-up Distance,Meet-up Mode,Preference Categories,University : Weight,University : Score,University : Percent,Degree : Weight,Degree : Score,Degree : Percent,Learning Habits : Weight,Learning Habits : Score,Learning Habits : Percent,Struggling Concepts : Weight,Struggling Concepts : Score,Struggling Concepts : Percent,Career Trajectories : Weight,Career Trajectories : Score,Career Trajectories : Percent,Meet-up Distance : Weight,Meet-up Distance : Score,Meet-up Distance : Percent,Meet-up Mode : Weight,Meet-up Mode : Score,Meet-up Mode : Percent,Learning Style,Compatibility Score,Score Total,Student Matches (Student A),Student Matches (Student B),Student Matches,Groups (Members),Groups (Best Matched Students (AI)),Groups,Student-Group Matches,Student-Group Matches 2
Emily Turner,emily.turner@email.com,emily.turner,,,,University of Illinois Urbana–Champaign,Education,"Teaching practice, lesson planning",School principal,,7 miles,Online,"Learning Habits,Career Trajectories",0,0,0,1,70,16,3,100,23,2,90,21,3,100,23,1,70,16,1,70,16,,,430,,,,,,,,
Emily White,emily.white@email.com,emily.white,,,,"University of California, San Diego",Chemistry,"Lab experiments, flashcards",Pharmacist,Organic chemistry,8 miles,In Person,"Learning Habits,Meet-up Distance,Other",2,90,17,3,100,19,1,70,13,3,100,19,1,70,13,2,90,17,2,90,17,Kinesthetic,,520,,Emily Johnson ↔ Emily White,,,,,,
Emma Fischer,emma.fischer@email.com,emma.fischer,,,,"University of California, San Diego",Medicine,"Lab work, peer review",Surgeon,Struggles with anatomy,7 miles,In Person,"Degree,Learning Habits,Struggling Concepts",3,100,22,2,90,20,2,90,20,3,100,22,1,70,16,0,0,0,0,0,0,2,,450,,,,,,,,
Emma Johnson,emma.johnson@email.com,emma.johnson,,,,Purdue University,Mechanical Engineering,"Hands-on projects, solo study",Automotive engineer,Thermodynamics,8 miles,Hybrid,"Degree,Learning Habits,Struggling Concepts",2,90,17,3,100,19,2,90,17,1,70,13,2,90,17,2,90,17,2,90,17,Kinesthetic,,530,,,,,,,,
Emma Wilson,emma.wilson@email.com,emma.wilson,,,,Georgia Institute of Technology,Political Science,"Debate, policy analysis",Diplomat,,4 miles,Online,"University,Learning Habits,Career Trajectories,Meet-up Mode",3,100,22,0,0,0,2,90,20,1,70,16,3,100,22,2,90,20,2,90,20,,,450,,,,,,,,
Erik Lange,erik.lange@email.com,erik.lange,,,,"University of California, Los Angeles",Music,"Ensemble practice, composition",Composer,Struggles with music theory,10 miles,Online,"Learning Habits,Career Trajectories,Meet-up Mode",1,70,15,3,100,22,2,90,20,3,100,22,3,100,22,0,0,0,0,0,0,1,,460,,,,,,,,
Ethan Johnson,ethan.johnson@email.com,ethan.johnson,,,,"University of California, San Diego",Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,9 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Ethan Johnson ↔ Fatima Al-Farsi,Ethan Johnson ↔ Hana Kimura,Ethan Johnson ↔ Helena Costa,Ethan Johnson ↔ Ivan Horvat,Ethan Johnson ↔ Jacob Green,Ethan Johnson ↔ Kevin Nguyen,Ethan Johnson ↔ Leah Stein,Ethan Johnson ↔ Liam O'Connor,Ethan Johnson ↔ Lina Svensson,Ethan Johnson ↔ Lucas Meyer,Ethan Johnson ↔ Maria Rodriguez,Ethan Johnson ↔ Mateo Silva,Ethan Johnson ↔ Mateusz Zielinski,Ethan Johnson ↔ Mei Chen,Ethan Johnson ↔ Nadia Benali,Ethan Johnson ↔ Olivia Wilson,Ethan Johnson ↔ Omar Farouk,Ethan Johnson ↔ Pedro Alvarez,Ethan Johnson ↔ Samantha Evans,Ethan Johnson ↔ Samuel Mensah,Ethan Johnson ↔ Santiago Lopez,Ethan Johnson ↔ Sibel Yilmaz,Ethan Johnson ↔ Sofia Garcia,Ethan Johnson ↔ Sofia Petrova,Ethan Johnson ↔ Tariq Aziz,Ethan Johnson ↔ Tomasz Nowak,Ethan Johnson ↔ Victoria Smith,Ethan Johnson ↔ Wei Zhang","Aaliyah Mohammed ↔ Ethan Johnson,Ahmed El-Sayed ↔ Ethan Johnson,Ahmed Hassan ↔ Ethan Johnson,Alexei Ivanov ↔ Ethan Johnson,Anna Müller ↔ Ethan Johnson,Ava Williams ↔ Ethan Johnson,Aya Nakamura ↔ Ethan Johnson,Dariusz Kowalski ↔ Ethan Johnson,Diego Torres ↔ Ethan Johnson,Emily Brown ↔ Ethan Johnson",,,,"Ethan Johnson ↔ Yuki Tanaka,Ethan Johnson ↔ Lucas Meyer,Ethan Johnson ↔ Tariq Aziz,Ethan Johnson ↔ Sofia Petrova,Ethan Johnson ↔ Sibel Yilmaz,Ethan Johnson ↔ Mateo Silva,Ethan Johnson ↔ Fatima Al-Farsi,Ethan Johnson ↔ Nadia Benali,Ethan Johnson ↔ Samuel Mensah","Ethan Johnson ↔ Dariusz Kowalski ↔ Yuki Tanaka,Ethan Johnson ↔ Jacob Green ↔ Yuki Tanaka,Ethan Johnson ↔ Linh Tran ↔ Omar Farouk",
Ethan Kim,ethan.kim@email.com,ethan.kim,,,,Carnegie Mellon University,Mechanical Engineering,"Robotics club, hands-on projects",Automotive engineer,,8 miles,Hybrid,"Learning Habits,Struggling Concepts,Meet-up Mode",2,90,20,2,90,20,3,100,22,3,100,22,0,0,0,1,70,16,1,70,16,,,450,,,,,,,,
Ethan Murphy,ethan.murphy@email.com,ethan.murphy,,,,Florida International University,Computer Science,"Coding bootcamps, group study",Software architect,Distributed systems,5 miles,Hybrid,"University,Career Trajectories,Meet-up Distance,Meet-up Mode",1,70,14,1,70,14,2,90,18,3,100,20,1,70,14,2,90,18,2,90,18,Visual,,490,,,,,,,,
Fabian Albrecht,fabian.albrecht@email.com,fabian.albrecht,,,,Stanford University,Law,"Case studies, mock trials",Human rights lawyer,Struggles with criminal law,12 miles,In Person,"University,Struggling Concepts,Meet-up Distance",0,0,0,2,90,20,3,100,22,3,100,22,1,70,15,3,100,22,3,100,22,2,,460,,,,,,,,
Fatima Al-Farsi,fatima.alfarsi@email.com,fatima.alfarsi,,,,California Institute of Technology (Caltech),Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Fatima Al-Farsi ↔ Hana Kimura,Fatima Al-Farsi ↔ Helena Costa,Fatima Al-Farsi ↔ Jacob Green,Fatima Al-Farsi ↔ Kevin Nguyen,Fatima Al-Farsi ↔ Leah Stein,Fatima Al-Farsi ↔ Liam O'Connor,Fatima Al-Farsi ↔ Linh Tran,Fatima Al-Farsi ↔ Lucas Meyer,Fatima Al-Farsi ↔ Maria Rodriguez,Fatima Al-Farsi ↔ Mateo Silva,Fatima Al-Farsi ↔ Mateusz Zielinski,Fatima Al-Farsi ↔ Mei Chen,Fatima Al-Farsi ↔ Nadia Benali,Fatima Al-Farsi ↔ Olivia Wilson,Fatima Al-Farsi ↔ Omar Farouk,Fatima Al-Farsi ↔ Pedro Alvarez,Fatima Al-Farsi ↔ Samantha Evans,Fatima Al-Farsi ↔ Samuel Mensah,Fatima Al-Farsi ↔ Santiago Lopez,Fatima Al-Farsi ↔ Sibel Yilmaz,Fatima Al-Farsi ↔ Sofia Garcia,Fatima Al-Farsi ↔ Sofia Petrova,Fatima Al-Farsi ↔ Tariq Aziz,Fatima Al-Farsi ↔ Tomasz Nowak,Fatima Al-Farsi ↔ Victoria Smith,Fatima Al-Farsi ↔ Wei Zhang,Fatima Al-Farsi ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Fatima Al-Farsi,Ahmed El-Sayed ↔ Fatima Al-Farsi,Ahmed Hassan ↔ Fatima Al-Farsi,Alexei Ivanov ↔ Fatima Al-Farsi,Anna Müller ↔ Fatima Al-Farsi,Ava Williams ↔ Fatima Al-Farsi,Aya Nakamura ↔ Fatima Al-Farsi,Dariusz Kowalski ↔ Fatima Al-Farsi,Diego Torres ↔ Fatima Al-Farsi,Emily Brown ↔ Fatima Al-Farsi,Ethan Johnson ↔ Fatima Al-Farsi",,,,"Fatima Al-Farsi ↔ Ivan Horvat,Fatima Al-Farsi ↔ Lina Svensson,Fatima Al-Farsi ↔ Leah Stein,Fatima Al-Farsi ↔ Omar Farouk,Aya Nakamura ↔ Fatima Al-Farsi,Ethan Johnson ↔ Fatima Al-Farsi,Fatima Al-Farsi ↔ Mateo Silva","Fatima Al-Farsi ↔ Leah Stein ↔ Lina Svensson,Fatima Al-Farsi ↔ Ahmed Hassan ↔ Ivan Horvat,Fatima Al-Farsi ↔ Lina Svensson ↔ Omar Farouk",
Fatima Diallo,fatima.diallo@email.com,fatima.diallo,,,,Cornell University,Law,"Debates, case studies",Judge,Civil law,4 miles,Online,"University,Career Trajectories,Meet-up Distance",1,70,14,1,70,14,2,90,18,3,100,20,1,70,14,2,90,18,2,90,18,Auditory,,490,Fatima Diallo ↔ Sofia Rossi,,,,,,,
Fatima Zahra,fatima.zahra@email.com,fatima.zahra,,,,Florida International University,Law,"Debates, case studies",Judge,Civil law,4 miles,Online,"University,Career Trajectories,Meet-up Distance",1,70,14,1,70,14,2,90,18,3,100,20,1,70,14,2,90,18,2,90,18,Auditory,,490,Fatima Zahra ↔ Sofia Rossi,,,,,,,
Fatou Bâ,fatou.ba@email.com,fatou.ba,,,,Cornell University,Biology,"Lab work, field research",Marine biologist,Marine ecosystems,8 miles,Hybrid,"Learning Habits,Meet-up Distance,Other",2,90,17,3,100,19,1,70,13,3,100,19,1,70,13,2,90,17,2,90,17,Kinesthetic,,520,Fatou Bâ ↔ Nia Nkosi,,,,,,,
Fatoumata Diallo,fatoumata.diallo@email.com,fatoumata.diallo,,,,"University of California, Los Angeles",Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Fatoumata Diallo ↔ Grace Lee,Fatoumata Diallo ↔ Hiroshi Sato,Fatoumata Diallo ↔ Laila Rahman,Fatoumata Diallo ↔ Lucas Evans,Fatoumata Diallo ↔ Maya Sharma,Fatoumata Diallo ↔ Mikhail Orlov,Fatoumata Diallo ↔ Noah Weber,Fatoumata Diallo ↔ Rashid Khan,Fatoumata Diallo ↔ Sana Qureshi,Fatoumata Diallo ↔ Svetlana Ivanova,Fatoumata Diallo ↔ Zara Ali","Ananya Singh ↔ Fatoumata Diallo,Chinonso Okafor ↔ Fatoumata Diallo,Elena Popova ↔ Fatoumata Diallo",,,,Ava Thompson ↔ Fatoumata Diallo,"Fatoumata Diallo ↔ Aisha Abdi ↔ Ava Thompson,Fatoumata Diallo ↔ Ava Thompson ↔ Mariam Habib,Fatoumata Diallo ↔ Ava Thompson ↔ Rashid Khan",
Felix Schuster,felix.schuster@email.com,felix.schuster,,,,University of Illinois Urbana–Champaign,Economics,"Data analysis, market simulations",Financial analyst,Struggles with statistics,8 miles,In Person,"Degree,Meet-up Distance",3,100,24,2,90,21,1,70,17,1,70,17,2,90,21,0,0,0,0,0,0,3,,420,,,,,,,,
Felix Zimmer,felix.zimmer@email.com,felix.zimmer,,,,Florida International University,Biology,"Lab research, field studies",Geneticist,Struggles with genetics,11 miles,Online,"Degree,Learning Habits,Struggling Concepts",3,100,22,2,90,20,2,90,20,3,100,22,1,70,16,0,0,0,0,0,0,2,,450,,,,,,,,
Finn Schröder,finn.schroder@email.com,finn.schroder,,,,University of Texas at Austin,Civil Engineering,"Prefers lectures, visual aids",Urban planner,Struggles with soil mechanics,12 miles,In Person,"Degree,Meet-up Distance,Meet-up Mode",3,100,20,2,90,18,2,90,18,1,70,14,2,90,18,1,70,14,1,70,14,3,,510,Finn Schröder ↔ Omar Hassan,,,,,,,
Gabriel Souza,gabriel.souza@email.com,gabriel.souza,Notes not provided,,,Cornell University,Biology,"Group study, flashcards",Research scientist,Genetics,8 miles,In Person,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode,Other",2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,"Gabriel Souza ↔ Jamal Carter,Gabriel Souza ↔ Jin Park,Gabriel Souza ↔ Juan Martinez,Gabriel Souza ↔ Julia Nowak,Gabriel Souza ↔ Marta Kowalczyk,Gabriel Souza ↔ Mohamed Abdallah,Gabriel Souza ↔ Mohammed Hassan,Gabriel Souza ↔ Nia Williams,Gabriel Souza ↔ Nour El-Din,Gabriel Souza ↔ Oscar Lindberg,Gabriel Souza ↔ Sienna Murphy,Gabriel Souza ↔ Yusuf Ali","Amina Yusuf ↔ Gabriel Souza,Andres Gomez ↔ Gabriel Souza,Arjun Desai ↔ Gabriel Souza,Benjamin Cohen ↔ Gabriel Souza",,None,None,Gabriel Souza ↔ Mohamed Abdallah,"Gabriel Souza ↔ Amina Yusuf ↔ Julia Nowak,Gabriel Souza ↔ Amina Yusuf ↔ Oscar Lindberg,Gabriel Souza ↔ Jin Park ↔ Nia Williams",
Gabriela Souza,gabriela.souza@email.com,gabriela.souza,,,,Florida International University,Medicine,"Clinical rotations, peer review",Neurologist,Neuroscience,10 miles,Hybrid,"University,Degree,Struggling Concepts",2,90,17,1,70,13,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,520,,,,,,,,
George Papadopoulos,george.papadopoulos@email.com,george.papadopoulos,Notes not provided,,,Florida International University,Biology,"Lecture review, group discussions",Lab technician,Microbiology,6 miles,In Person,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode,Other",2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,,,,None,None,,,
Grace Kim,grace.kim@email.com,grace.kim,,,,University of Miami,International Relations,"Model UN, policy writing",Foreign service officer,,10 miles,Hybrid,"Learning Habits,Struggling Concepts,Meet-up Mode",2,90,20,2,90,20,3,100,22,3,100,22,0,0,0,1,70,16,1,70,16,,,450,Grace Kim ↔ Timo Schrader,,,,,,,
Grace Lee,grace.lee@email.com,grace.lee,,,,"University of California, San Diego",Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,9 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Grace Lee ↔ Isabella Rossi,Grace Lee ↔ Ivan Petrov,Grace Lee ↔ Kwame Boateng,Grace Lee ↔ Leila Haddad,Grace Lee ↔ Mariam Habib,Grace Lee ↔ Maya Cohen,Grace Lee ↔ Mina Hassan,Grace Lee ↔ Mustafa Demir,Grace Lee ↔ Oluwaseun Adeyemi,Grace Lee ↔ Priya Patel,Grace Lee ↔ Samuel Lee,Grace Lee ↔ Sara Ahmed,Grace Lee ↔ Sophie Dubois,Grace Lee ↔ Thiago Pereira,Grace Lee ↔ Yara Mansour","Aisha Abdi ↔ Grace Lee,Aisha Bello ↔ Grace Lee,Ava Thompson ↔ Grace Lee,Carlos Ramirez ↔ Grace Lee,David Kim ↔ Grace Lee,Emily Clark ↔ Grace Lee,Fatoumata Diallo ↔ Grace Lee",,,,"Grace Lee ↔ Ravi Kumar,Emily Clark ↔ Grace Lee,Grace Lee ↔ Maya Sharma,Grace Lee ↔ Zara Ali,Grace Lee ↔ Hiroshi Sato,Grace Lee ↔ Samuel Lee,Grace Lee ↔ Isabella Rossi,Grace Lee ↔ Oluwaseun Adeyemi","Grace Lee ↔ Ananya Singh ↔ Ravi Kumar,Grace Lee ↔ Leila Haddad ↔ Rashid Khan,Grace Lee ↔ Ava Thompson ↔ Rashid Khan",
Grace Walker,grace.walker@email.com,grace.walker,,,,University of Michigan – Ann Arbor,Chemistry,"Lab experiments, peer review",Research chemist,Physical chemistry,9 miles,Hybrid,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,,,,,,,,
Hana Kimura,hana.kimura@email.com,hana.kimura,,,,University of Illinois Urbana–Champaign,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Hana Kimura ↔ Helena Costa,Hana Kimura ↔ Ivan Horvat,Hana Kimura ↔ Jacob Green,Hana Kimura ↔ Kevin Nguyen,Hana Kimura ↔ Leah Stein,Hana Kimura ↔ Liam O'Connor,Hana Kimura ↔ Lina Svensson,Hana Kimura ↔ Linh Tran,Hana Kimura ↔ Lucas Meyer,Hana Kimura ↔ Maria Rodriguez,Hana Kimura ↔ Mateo Silva,Hana Kimura ↔ Mateusz Zielinski,Hana Kimura ↔ Mei Chen,Hana Kimura ↔ Nadia Benali,Hana Kimura ↔ Olivia Wilson,Hana Kimura ↔ Omar Farouk,Hana Kimura ↔ Pedro Alvarez,Hana Kimura ↔ Samantha Evans,Hana Kimura ↔ Samuel Mensah,Hana Kimura ↔ Santiago Lopez,Hana Kimura ↔ Sibel Yilmaz,Hana Kimura ↔ Sofia Garcia,Hana Kimura ↔ Tariq Aziz,Hana Kimura ↔ Tomasz Nowak,Hana Kimura ↔ Wei Zhang,Hana Kimura ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Hana Kimura,Ahmed El-Sayed ↔ Hana Kimura,Ahmed Hassan ↔ Hana Kimura,Alexei Ivanov ↔ Hana Kimura,Anna Müller ↔ Hana Kimura,Ava Williams ↔ Hana Kimura,Aya Nakamura ↔ Hana Kimura,Dariusz Kowalski ↔ Hana Kimura,Diego Torres ↔ Hana Kimura,Emily Brown ↔ Hana Kimura,Ethan Johnson ↔ Hana Kimura,Fatima Al-Farsi ↔ Hana Kimura",,,,"Hana Kimura ↔ Sofia Petrova,Emily Brown ↔ Hana Kimura,Alexei Ivanov ↔ Hana Kimura,Ava Williams ↔ Hana Kimura,Hana Kimura ↔ Kevin Nguyen,Hana Kimura ↔ Victoria Smith","Hana Kimura ↔ Ethan Johnson ↔ Sofia Petrova,Hana Kimura ↔ Anna Müller ↔ Victoria Smith,Hana Kimura ↔ Anna Müller ↔ Sofia Petrova",
Hannah Keller,hannah.keller@email.com,hannah.keller,,,,University of Illinois Urbana–Champaign,Sociology,"Surveys, group interviews",Social researcher,Struggles with data analysis,10 miles,Online,"Degree,Career Trajectories,Meet-up Distance,Meet-up Mode",3,100,22,0,0,0,3,100,22,2,90,20,3,100,22,1,70,15,1,70,15,2,,460,,,,,,,,
Hannah Müller,hannah.muller@email.com,hannah.muller,,,,"University of California, San Diego",Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Hannah Müller ↔ Hiroshi Sato,Hannah Müller ↔ Laila Rahman,Hannah Müller ↔ Lucas Evans,Hannah Müller ↔ Maya Sharma,Hannah Müller ↔ Mikhail Orlov,Hannah Müller ↔ Noah Weber,Hannah Müller ↔ Sana Qureshi,Hannah Müller ↔ Svetlana Ivanova,Hannah Müller ↔ Viktor Novak,Hannah Müller ↔ Zara Ali","Ananya Singh ↔ Hannah Müller,Chinonso Okafor ↔ Hannah Müller,Elena Popova ↔ Hannah Müller",,,,"Emily Clark ↔ Hannah Müller,Hannah Müller ↔ Hiroshi Sato,Hannah Müller ↔ Isabella Rossi,Elena Popova ↔ Hannah Müller","Hannah Müller ↔ Grace Lee ↔ Ravi Kumar,Hannah Müller ↔ Emily Clark ↔ Grace Lee,Hannah Müller ↔ Maya Cohen ↔ Ravi Kumar",
Harper Wright,harper.wright@email.com,harper.wright,Notes not provided,,,University of Michigan – Ann Arbor,Computer Engineering,"Coding sprints, robotics club",AI engineer,Machine learning,8 miles,In Person,"Learning Habits,Struggling Concepts,Meet-up Mode",1,70,16,2,90,21,3,100,23,3,100,23,0,0,0,1,70,16,1,70,16,1,,430,,,,None,None,,,
Hassan Ali,hassan.ali@email.com,hassan.ali,,,,"University of California, Los Angeles",Computer Science,"Coding marathons, online courses",AI engineer,Machine learning,6 miles,Hybrid,"University,Learning Habits,Career Trajectories",1,70,13,2,90,17,2,90,17,1,70,13,3,100,19,3,100,19,3,100,19,Reading/Writing,,520,,,,,,,,
Hassan Jafari,hassan.jafari@email.com,hassan.jafari,,,,University of Miami,Computer Science,"Coding marathons, online courses",AI engineer,Machine learning,6 miles,Hybrid,"University,Learning Habits,Career Trajectories,Meet-up Mode",1,70,13,2,90,17,2,90,17,1,70,13,3,100,19,3,100,19,3,100,19,Reading/Writing,,520,,,,,,,,
Helena Costa,helena.costa@email.com,helena.costa,,,,Florida International University,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,9 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Helena Costa ↔ Ivan Horvat,Helena Costa ↔ Jacob Green,Helena Costa ↔ Kevin Nguyen,Helena Costa ↔ Leah Stein,Helena Costa ↔ Liam O'Connor,Helena Costa ↔ Lina Svensson,Helena Costa ↔ Linh Tran,Helena Costa ↔ Lucas Meyer,Helena Costa ↔ Maria Rodriguez,Helena Costa ↔ Mateo Silva,Helena Costa ↔ Mateusz Zielinski,Helena Costa ↔ Mei Chen,Helena Costa ↔ Nadia Benali,Helena Costa ↔ Olivia Wilson,Helena Costa ↔ Omar Farouk,Helena Costa ↔ Pedro Alvarez,Helena Costa ↔ Samantha Evans,Helena Costa ↔ Samuel Mensah,Helena Costa ↔ Santiago Lopez,Helena Costa ↔ Sibel Yilmaz,Helena Costa ↔ Sofia Petrova,Helena Costa ↔ Tariq Aziz,Helena Costa ↔ Tomasz Nowak,Helena Costa ↔ Victoria Smith,Helena Costa ↔ Wei Zhang,Helena Costa ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Helena Costa,Ahmed El-Sayed ↔ Helena Costa,Ahmed Hassan ↔ Helena Costa,Alexei Ivanov ↔ Helena Costa,Anna Müller ↔ Helena Costa,Ava Williams ↔ Helena Costa,Aya Nakamura ↔ Helena Costa,Dariusz Kowalski ↔ Helena Costa,Diego Torres ↔ Helena Costa,Ethan Johnson ↔ Helena Costa,Fatima Al-Farsi ↔ Helena Costa,Hana Kimura ↔ Helena Costa",,,,"Helena Costa ↔ Mateo Silva,Helena Costa ↔ Samantha Evans","Helena Costa ↔ Mateusz Zielinski ↔ Sofia Garcia,Helena Costa ↔ Emily Brown ↔ Samuel Mensah,Helena Costa ↔ Mateo Silva ↔ Sofia Garcia",
Helena Vogt,helena.vogt@email.com,helena.vogt,,,,"University of California, Los Angeles",History,"Archival research, presentations",Historian,Struggles with historiography,12 miles,Hybrid,"Degree,Meet-up Distance,Meet-up Mode",2,90,18,3,100,20,1,70,14,1,70,14,2,90,18,1,70,14,1,70,14,Reading/Writing,,490,,,,,,,,
Henry Adams,henry.adams@email.com,henry.adams,,,,Purdue University,Mathematics,"Problem sets, tutoring",Data scientist,Struggles with probability,8 miles,Hybrid,"Degree,Learning Habits,Struggling Concepts,Meet-up Mode",3,100,18,3,100,18,3,100,18,3,100,18,2,90,16,1,70,13,1,70,13,Visual,,560,,,,,,,,
Henry Turner,henry.turner@email.com,henry.turner,,,,Purdue University,Engineering,"Lab work, group projects",Civil engineer,Structural analysis,10 miles,Online,"University,Learning Habits,Career Trajectories,Meet-up Mode",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Visual,,480,,,,,,,,
Hiroshi Sato,hiroshi.sato@email.com,hiroshi.sato,,,,Florida International University,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,9 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Hiroshi Sato ↔ Isabella Rossi,Hiroshi Sato ↔ Ivan Petrov,Hiroshi Sato ↔ Mariam Habib,Hiroshi Sato ↔ Maya Cohen,Hiroshi Sato ↔ Mina Hassan,Hiroshi Sato ↔ Mustafa Demir,Hiroshi Sato ↔ Oluwaseun Adeyemi,Hiroshi Sato ↔ Priya Patel,Hiroshi Sato ↔ Ravi Kumar,Hiroshi Sato ↔ Samuel Lee,Hiroshi Sato ↔ Sara Ahmed,Hiroshi Sato ↔ Sophie Dubois,Hiroshi Sato ↔ Thiago Pereira,Hiroshi Sato ↔ Yara Mansour","Aisha Abdi ↔ Hiroshi Sato,Aisha Bello ↔ Hiroshi Sato,Ava Thompson ↔ Hiroshi Sato,Carlos Ramirez ↔ Hiroshi Sato,David Kim ↔ Hiroshi Sato,Emily Clark ↔ Hiroshi Sato,Fatoumata Diallo ↔ Hiroshi Sato,Hannah Müller ↔ Hiroshi Sato",,,,"Grace Lee ↔ Hiroshi Sato,Aisha Abdi ↔ Hiroshi Sato,Hannah Müller ↔ Hiroshi Sato,Aisha Bello ↔ Hiroshi Sato,David Kim ↔ Hiroshi Sato,Hiroshi Sato ↔ Samuel Lee,Hiroshi Sato ↔ Sara Ahmed","Hiroshi Sato ↔ Kwame Boateng ↔ Laila Rahman,Hiroshi Sato ↔ Leila Haddad ↔ Rashid Khan,Hiroshi Sato ↔ Kwame Boateng ↔ Zara Ali",
Hiroshi Tanaka,hiroshi.tanaka@email.com,hiroshi.tanaka,,,,University of Texas at Austin,Physics,"Lab experiments, solo study",Research physicist,Quantum field theory,12 miles,Online,"Degree,Learning Habits,Struggling Concepts",3,100,19,1,70,13,3,100,19,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,,,,,,,,
Isabella Moretti,isabella.moretti@email.com,isabella.moretti,,,,University of Texas at Austin,Art History,"Museum visits, essay writing",Museum curator,Renaissance art,6 miles,Hybrid,"Degree,Learning Habits,Meet-up Distance",3,100,19,2,90,17,1,70,13,1,70,13,3,100,19,3,100,19,3,100,19,Reading/Writing,,530,,,,,,,,
Isabella Rossi,isabella.rossi@email.com,isabella.rossi,,,,Cornell University,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Isabella Rossi ↔ Laila Rahman,Isabella Rossi ↔ Leila Haddad,Isabella Rossi ↔ Maya Sharma,Isabella Rossi ↔ Mikhail Orlov,Isabella Rossi ↔ Noah Weber,Isabella Rossi ↔ Priya Patel,Isabella Rossi ↔ Rashid Khan,Isabella Rossi ↔ Sana Qureshi,Isabella Rossi ↔ Svetlana Ivanova,Isabella Rossi ↔ Viktor Novak,Isabella Rossi ↔ Zara Ali","Ananya Singh ↔ Isabella Rossi,Chinonso Okafor ↔ Isabella Rossi,Grace Lee ↔ Isabella Rossi,Hiroshi Sato ↔ Isabella Rossi",,,,"David Kim ↔ Isabella Rossi,Isabella Rossi ↔ Mina Hassan,Isabella Rossi ↔ Mariam Habib,Isabella Rossi ↔ Yara Mansour,Isabella Rossi ↔ Kwame Boateng,Hannah Müller ↔ Isabella Rossi,Grace Lee ↔ Isabella Rossi,Isabella Rossi ↔ Ivan Petrov","Isabella Rossi ↔ Elena Popova ↔ Mustafa Demir,Isabella Rossi ↔ David Kim ↔ Sophie Dubois,Isabella Rossi ↔ David Kim ↔ Hiroshi Sato",
